Transaction,Amount,Time of Day,Location,Fraudulent
Purchase,2942,15,Gujarat,0
Transfer,4524,0,Thrissur,0
Transfer,2426,4,Kashmir,0
Transfer,4650,6,Coimbatore,0
Transfer,4478,8,Kashmir,0
Withdrawal,4305,15,Mumbai,0
Transfer,1909,13,Kashmir,0
Purchase,12687,1,Bangalore,1
Transfer,2051,21,Delhi,0
Transfer,3013,6,Gujarat,0
Purchase,1444,22,Kashmir,0
Transfer,1926,0,Coimbatore,0
Transfer,801,21,Coimbatore,0
Withdrawal,4005,8,Coimbatore,0
Transfer,1779,10,Chennai,0
Transfer,1594,3,Chennai,0
Transfer,3329,2,Thrissur,0
Transfer,1536,15,Mumbai,0
Withdrawal,2285,21,Delhi,0
Purchase,215,20,Chennai,0
Purchase,45,6,Delhi,0
Purchase,4780,15,Coimbatore,0
Withdrawal,3375,9,Thrissur,0
Purchase,4118,15,Kolkata,0
Purchase,2187,21,Delhi,0
Purchase,735,13,Bangalore,0
Withdrawal,1279,17,Chennai,0
Purchase,221,23,Kolkata,1
Withdrawal,4257,17,Mumbai,0
Transfer,3289,23,Mumbai,0
Purchase,4196,19,Kashmir,0
Transfer,82,4,Kolkata,0
Withdrawal,117,4,Coimbatore,0
Transfer,1236,21,Chennai,0
Transfer,223,18,Coimbatore,0
Purchase,2376,0,Gujarat,0
Transfer,1202,23,Kashmir,0
Withdrawal,3925,9,Delhi,0
Purchase,3142,18,Kolkata,0
Purchase,546,22,Chennai,0
Transfer,27015,12,Bangalore,1
Transfer,1995,11,Chennai,0
Purchase,3960,4,Chennai,0
Transfer,2667,2,Coimbatore,0
Transfer,2116,6,Bangalore,0
Transfer,2071,0,Kolkata,0
Purchase,21274,11,Delhi,1
Transfer,2619,4,Gujarat,0
Withdrawal,3259,0,Mumbai,0
Withdrawal,1207,2,Mumbai,0
Withdrawal,806,1,Bangalore,0
Transfer,1279,11,Thrissur,0
Transfer,728,20,Thrissur,0
Purchase,119,18,Delhi,0
Transfer,4114,2,Kashmir,0
Withdrawal,120,14,Mumbai,0
Purchase,825,9,Kashmir,0
Transfer,468,14,Chennai,0
Transfer,3089,7,Chennai,0
Withdrawal,44268,4,Delhi,1
Purchase,4412,23,Gujarat,1
Withdrawal,3302,6,Mumbai,0
Transfer,739,5,Kashmir,0
Transfer,3514,18,Gujarat,0
Purchase,484,16,Bangalore,0
Purchase,3493,16,Gujarat,0
Transfer,4932,6,Delhi,0
Purchase,4344,3,Delhi,0
Transfer,4024,0,Mumbai,0
Withdrawal,4885,7,Delhi,0
Purchase,3291,2,Bangalore,0
Transfer,2824,20,Chennai,0
Purchase,4633,10,Coimbatore,0
Transfer,2403,12,Kolkata,0
Withdrawal,2646,10,Kashmir,0
Transfer,1080,1,Kashmir,1
Purchase,2527,9,Thrissur,0
Purchase,3347,18,Delhi,0
Transfer,587,16,Gujarat,0
Purchase,2444,1,Coimbatore,0
Withdrawal,4688,20,Kolkata,0
Withdrawal,2026,4,Gujarat,0
Withdrawal,15235,20,Mumbai,1
Transfer,1599,21,Thrissur,0
Withdrawal,4915,4,Delhi,1
Purchase,2635,10,Bangalore,0
Purchase,1366,7,Bangalore,0
Purchase,2666,0,Mumbai,0
Purchase,17677,23,Delhi,1
Withdrawal,3568,0,Gujarat,0
Withdrawal,94,12,Kashmir,0
Withdrawal,607,4,Gujarat,0
Withdrawal,1993,3,Mumbai,0
Purchase,923,12,Chennai,0
Transfer,4321,7,Mumbai,0
Withdrawal,1714,9,Chennai,0
Withdrawal,4826,6,Delhi,0
Transfer,2460,15,Thrissur,0
Purchase,4329,21,Kashmir,0
Withdrawal,3325,21,Bangalore,0
Purchase,1825,20,Kashmir,0
Withdrawal,1416,19,Coimbatore,0
Transfer,20822,15,Gujarat,1
Transfer,4408,17,Mumbai,0
Withdrawal,2732,23,Bangalore,0
Withdrawal,25,10,Delhi,0
Purchase,4885,19,Delhi,0
Withdrawal,88,20,Thrissur,0
Withdrawal,48329,5,Bangalore,1
Withdrawal,3163,1,Kolkata,0
Withdrawal,167,11,Kashmir,0
Purchase,4470,3,Bangalore,0
Transfer,64,13,Coimbatore,0
Withdrawal,3401,6,Delhi,0
Purchase,2096,11,Gujarat,0
Withdrawal,33436,23,Mumbai,1
Withdrawal,4344,22,Thrissur,0
Purchase,2324,17,Kolkata,0
Purchase,2372,22,Thrissur,0
Withdrawal,1402,4,Bangalore,0
Transfer,712,10,Mumbai,0
Withdrawal,3563,14,Thrissur,0
Transfer,42743,0,Kashmir,1
Withdrawal,40551,8,Kolkata,1
Transfer,1381,5,Kolkata,0
Transfer,1741,5,Delhi,0
Withdrawal,4392,2,Gujarat,0
Withdrawal,3733,1,Thrissur,0
Transfer,11178,0,Mumbai,1
Purchase,4196,17,Chennai,0
Transfer,204,5,Coimbatore,0
Withdrawal,1310,13,Kolkata,0
Withdrawal,2694,22,Kashmir,0
Purchase,235,18,Mumbai,0
Withdrawal,31604,4,Kashmir,1
Purchase,871,21,Kolkata,0
Withdrawal,3859,5,Gujarat,0
Purchase,1869,18,Delhi,0
Withdrawal,634,18,Kolkata,0
Withdrawal,29966,19,Chennai,1
Purchase,1136,2,Gujarat,0
Withdrawal,3007,22,Mumbai,0
Withdrawal,1623,10,Chennai,0
Transfer,1144,0,Thrissur,0
Transfer,1071,15,Chennai,0
Withdrawal,2328,16,Delhi,0
Transfer,224,22,Coimbatore,0
Withdrawal,282,14,Bangalore,0
Purchase,1426,19,Bangalore,0
Transfer,1383,16,Kashmir,0
Withdrawal,4652,9,Kashmir,0
Withdrawal,2403,20,Bangalore,0
Withdrawal,3419,1,Gujarat,0
Purchase,3966,20,Mumbai,0
Transfer,13194,20,Kolkata,1
Withdrawal,2130,19,Gujarat,0
Withdrawal,1534,23,Gujarat,0
Withdrawal,2320,1,Chennai,0
Purchase,3535,10,Bangalore,0
Withdrawal,33659,2,Delhi,1
Withdrawal,5000,7,Coimbatore,0
Withdrawal,450,15,Gujarat,0
Purchase,4175,11,Kashmir,0
Transfer,1602,3,Chennai,0
Transfer,2991,2,Delhi,0
Withdrawal,4095,18,Coimbatore,0
Purchase,4051,19,Delhi,0
Withdrawal,4612,20,Thrissur,0
Transfer,1284,6,Coimbatore,0
Transfer,804,23,Coimbatore,0
Withdrawal,4038,14,Kolkata,0
Purchase,3332,9,Chennai,0
Purchase,591,17,Gujarat,0
Transfer,4959,5,Chennai,0
Withdrawal,3347,19,Thrissur,0
Withdrawal,171,1,Mumbai,0
Withdrawal,2828,13,Mumbai,0
Withdrawal,1951,17,Delhi,0
Purchase,1011,17,Coimbatore,0
Purchase,2819,6,Thrissur,0
Transfer,263,19,Mumbai,0
Transfer,95,2,Gujarat,0
Withdrawal,1560,21,Chennai,0
Withdrawal,36200,5,Gujarat,1
Purchase,37429,23,Mumbai,1
Withdrawal,1698,4,Chennai,0
Transfer,980,10,Gujarat,0
Transfer,600,23,Kashmir,0
Transfer,3350,7,Coimbatore,0
Transfer,27872,23,Kolkata,1
Withdrawal,2537,5,Chennai,0
Purchase,4198,11,Kashmir,0
Purchase,30954,19,Kashmir,1
Withdrawal,4352,14,Kashmir,0
Purchase,2199,9,Chennai,0
Purchase,31839,18,Gujarat,1
Purchase,1925,15,Kolkata,0
Withdrawal,3740,13,Kashmir,0
Withdrawal,4339,21,Mumbai,0
Purchase,4255,11,Delhi,0
Purchase,16154,2,Gujarat,1
Purchase,3593,16,Chennai,0
Withdrawal,23710,4,Kashmir,1
Purchase,1299,7,Bangalore,0
Transfer,3181,8,Gujarat,0
Transfer,933,23,Coimbatore,0
Transfer,1380,23,Coimbatore,0
Purchase,62,20,Gujarat,0
Withdrawal,548,16,Chennai,0
Transfer,4750,3,Delhi,0
Withdrawal,3300,13,Coimbatore,0
Transfer,815,20,Delhi,0
Transfer,2279,13,Coimbatore,0
Transfer,4796,22,Bangalore,0
Withdrawal,443,12,Chennai,0
Purchase,889,2,Thrissur,0
Withdrawal,1370,9,Thrissur,0
Withdrawal,1165,21,Gujarat,0
Purchase,3156,21,Kashmir,0
Purchase,4372,19,Gujarat,0
Transfer,3324,5,Mumbai,0
Withdrawal,4245,11,Kolkata,0
Transfer,123,8,Thrissur,0
Purchase,4105,2,Thrissur,0
Transfer,2945,21,Chennai,0
Transfer,3482,14,Mumbai,0
Transfer,1284,13,Bangalore,0
Withdrawal,626,16,Mumbai,0
Withdrawal,2439,14,Coimbatore,0
Purchase,2284,7,Bangalore,0
Transfer,3781,3,Chennai,0
Purchase,1696,6,Thrissur,0
Transfer,3698,0,Bangalore,1
Transfer,178,14,Chennai,0
Withdrawal,1016,4,Kashmir,0
Transfer,634,18,Gujarat,0
Purchase,2077,23,Thrissur,0
Purchase,3114,13,Kashmir,0
Transfer,3309,18,Bangalore,0
Withdrawal,368,16,Bangalore,0
Purchase,14838,18,Mumbai,1
Transfer,1166,2,Delhi,0
Transfer,29726,3,Gujarat,1
Purchase,738,21,Bangalore,0
Withdrawal,11844,23,Mumbai,1
Transfer,4126,2,Delhi,0
Purchase,2161,6,Thrissur,0
Purchase,333,0,Chennai,0
Purchase,1499,20,Bangalore,0
Purchase,2098,4,Kolkata,0
Withdrawal,2423,17,Coimbatore,0
Transfer,3898,19,Mumbai,0
Withdrawal,459,9,Delhi,0
Transfer,1810,11,Coimbatore,0
Transfer,586,20,Thrissur,0
Purchase,1357,11,Coimbatore,0
Withdrawal,2093,15,Chennai,0
Purchase,2269,18,Bangalore,0
Transfer,3724,4,Gujarat,0
Purchase,24021,5,Chennai,1
Purchase,25349,1,Kolkata,1
Transfer,826,23,Kashmir,0
Withdrawal,2130,22,Kolkata,0
Transfer,4260,19,Kashmir,0
Transfer,596,0,Kashmir,0
Withdrawal,800,8,Coimbatore,0
Purchase,498,12,Delhi,0
Purchase,4550,4,Kashmir,0
Withdrawal,586,17,Mumbai,0
Purchase,2563,4,Chennai,0
Purchase,341,12,Kashmir,0
Withdrawal,1935,8,Thrissur,0
Purchase,36284,23,Bangalore,1
Withdrawal,4976,22,Chennai,0
Purchase,760,0,Mumbai,0
Transfer,4746,16,Bangalore,0
Purchase,47680,0,Gujarat,1
Transfer,35713,16,Gujarat,1
Transfer,3354,20,Gujarat,0
Transfer,3568,19,Kolkata,0
Transfer,4966,5,Delhi,0
Withdrawal,3513,17,Gujarat,0
Transfer,2307,19,Mumbai,0
Withdrawal,4968,23,Kashmir,0
Purchase,2148,23,Chennai,0
Purchase,19972,0,Chennai,1
Purchase,2623,0,Bangalore,0
Purchase,3890,15,Gujarat,0
Withdrawal,397,11,Thrissur,0
Transfer,2344,10,Kashmir,0
Withdrawal,3136,6,Chennai,0
Withdrawal,3562,19,Kolkata,0
Transfer,4726,8,Kolkata,0
Transfer,2864,4,Thrissur,0
Purchase,1992,19,Kolkata,0
Purchase,674,17,Kolkata,0
Withdrawal,1414,18,Chennai,0
Purchase,3289,3,Bangalore,0
Withdrawal,4051,6,Mumbai,0
Purchase,3707,15,Gujarat,0
Withdrawal,4316,14,Bangalore,0
Purchase,4581,0,Gujarat,0
Withdrawal,3772,2,Bangalore,0
Transfer,888,0,Thrissur,0
Transfer,3277,13,Coimbatore,0
Withdrawal,3668,7,Kolkata,0
Transfer,2794,10,Gujarat,0
Purchase,4151,3,Kashmir,0
Transfer,2849,1,Gujarat,0
Transfer,19887,3,Chennai,1
Purchase,446,23,Gujarat,0
Withdrawal,1305,10,Kashmir,0
Purchase,2734,19,Bangalore,0
Purchase,2017,19,Mumbai,0
Withdrawal,650,21,Chennai,0
Withdrawal,2321,4,Kolkata,0
Transfer,3284,3,Gujarat,0
Transfer,2922,18,Thrissur,0
Purchase,3313,1,Kolkata,0
Withdrawal,2687,6,Kashmir,0
Transfer,1789,10,Thrissur,0
Withdrawal,872,13,Delhi,0
Purchase,3522,4,Coimbatore,0
Purchase,4606,7,Chennai,0
Transfer,513,7,Coimbatore,0
Purchase,4745,3,Coimbatore,0
Transfer,1906,20,Kolkata,0
Transfer,2079,8,Delhi,0
Transfer,41781,17,Kashmir,1
Transfer,9892,1,Delhi,1
Withdrawal,1772,18,Mumbai,0
Transfer,1008,15,Kashmir,0
Withdrawal,48166,7,Chennai,1
Purchase,1358,12,Kashmir,0
Purchase,1555,7,Kolkata,0
Withdrawal,7,5,Delhi,0
Purchase,4737,10,Coimbatore,0
Purchase,3613,0,Coimbatore,0
Purchase,4212,5,Kashmir,0
Transfer,30118,5,Kolkata,1
Withdrawal,1736,9,Coimbatore,0
Transfer,4586,14,Delhi,0
Transfer,4692,5,Coimbatore,0
Transfer,3404,3,Delhi,0
Transfer,3366,17,Gujarat,0
Purchase,1135,4,Mumbai,0
Purchase,822,22,Kashmir,0
Withdrawal,4431,10,Delhi,0
Purchase,4398,2,Coimbatore,0
Withdrawal,2241,10,Kolkata,0
Withdrawal,418,20,Thrissur,0
Withdrawal,4709,2,Kashmir,0
Purchase,2663,17,Kolkata,0
Transfer,3643,0,Kashmir,0
Purchase,3019,14,Gujarat,0
Transfer,2142,23,Coimbatore,0
Withdrawal,2521,5,Bangalore,0
Transfer,22140,23,Mumbai,1
Withdrawal,1482,1,Mumbai,0
Purchase,1757,15,Coimbatore,0
Transfer,3230,10,Coimbatore,0
Purchase,1088,2,Delhi,0
Transfer,757,16,Kolkata,0
Withdrawal,1959,17,Kolkata,0
Transfer,4524,14,Gujarat,0
Transfer,425,6,Kolkata,0
Withdrawal,2654,8,Gujarat,0
Transfer,664,16,Bangalore,0
Transfer,4476,6,Kolkata,0
Purchase,655,23,Thrissur,0
Withdrawal,2497,9,Gujarat,0
Transfer,24280,5,Kashmir,1
Purchase,5398,4,Delhi,1
Transfer,1179,13,Thrissur,0
Purchase,299,11,Coimbatore,0
Purchase,4504,20,Thrissur,0
Purchase,983,15,Coimbatore,0
Withdrawal,3284,16,Kashmir,0
Purchase,3873,22,Mumbai,0
Withdrawal,3112,15,Bangalore,0
Transfer,4567,8,Kolkata,0
Purchase,521,0,Bangalore,0
Withdrawal,4756,15,Thrissur,0
Purchase,2517,8,Kolkata,0
Transfer,2502,0,Coimbatore,0
Transfer,3252,20,Thrissur,0
Withdrawal,679,9,Bangalore,0
Purchase,4818,16,Bangalore,0
Withdrawal,2816,23,Kashmir,0
Withdrawal,1406,23,Gujarat,0
Transfer,1757,12,Gujarat,0
Transfer,2526,11,Chennai,0
Withdrawal,2146,18,Bangalore,0
Purchase,4398,13,Kolkata,0
Purchase,679,4,Bangalore,0
Withdrawal,4280,1,Delhi,1
Purchase,1080,5,Kashmir,0
Withdrawal,38121,4,Gujarat,1
Purchase,2842,23,Kolkata,0
Transfer,747,11,Mumbai,0
Transfer,2444,1,Thrissur,0
Purchase,2998,2,Gujarat,0
Purchase,4937,5,Thrissur,0
Transfer,14030,1,Bangalore,1
Purchase,1290,11,Bangalore,0
Withdrawal,13308,23,Gujarat,1
Transfer,1052,9,Coimbatore,0
Transfer,47852,4,Kashmir,1
Purchase,1709,22,Coimbatore,0
Withdrawal,3939,17,Thrissur,0
Purchase,3617,0,Gujarat,0
Withdrawal,1912,12,Coimbatore,0
Withdrawal,665,18,Coimbatore,0
Transfer,47931,0,Kashmir,1
Purchase,3745,7,Delhi,0
Transfer,3694,17,Mumbai,0
Purchase,1121,3,Kashmir,0
Purchase,4228,17,Kolkata,0
Purchase,2846,10,Delhi,0
Withdrawal,2054,18,Gujarat,0
Withdrawal,328,23,Bangalore,0
Withdrawal,4328,1,Kolkata,0
Purchase,1895,20,Chennai,0
Withdrawal,4445,4,Chennai,0
Purchase,664,20,Coimbatore,0
Withdrawal,4344,23,Thrissur,0
Purchase,1204,20,Delhi,0
Transfer,2092,9,Delhi,0
Transfer,2242,2,Kolkata,0
Purchase,2697,2,Kashmir,0
Purchase,698,9,Coimbatore,0
Withdrawal,4228,7,Chennai,0
Purchase,1928,15,Gujarat,0
Purchase,47635,3,Gujarat,1
Purchase,2599,20,Kolkata,0
Purchase,12118,4,Delhi,1
Transfer,1331,15,Kolkata,0
Transfer,9276,11,Chennai,1
Transfer,1105,16,Kashmir,0
Purchase,3979,18,Chennai,0
Transfer,1246,16,Delhi,0
Purchase,42512,14,Bangalore,1
Transfer,3102,10,Kashmir,0
Transfer,235,5,Thrissur,0
Purchase,2483,4,Kolkata,0
Transfer,2908,23,Mumbai,0
Purchase,810,9,Coimbatore,0
Withdrawal,1612,19,Gujarat,0
Transfer,3857,17,Coimbatore,0
Purchase,4483,13,Bangalore,0
Transfer,36028,15,Gujarat,1
Transfer,2944,11,Mumbai,0
Withdrawal,3382,13,Chennai,0
Purchase,2826,23,Chennai,0
Withdrawal,1478,12,Delhi,0
Withdrawal,868,14,Kolkata,0
Transfer,800,1,Coimbatore,0
Withdrawal,2008,10,Chennai,0
Purchase,39689,23,Delhi,1
Withdrawal,4453,2,Bangalore,0
Transfer,675,13,Delhi,0
Purchase,1328,20,Thrissur,0
Withdrawal,1471,7,Thrissur,0
Withdrawal,514,20,Bangalore,0
Withdrawal,1211,11,Gujarat,0
Withdrawal,3106,20,Kolkata,0
Transfer,2085,7,Thrissur,0
Withdrawal,4945,22,Coimbatore,0
Purchase,4864,20,Kolkata,0
Withdrawal,3697,5,Chennai,0
Transfer,2129,1,Mumbai,0
Purchase,1832,18,Thrissur,0
Withdrawal,41196,0,Bangalore,1
Transfer,586,3,Delhi,0
Transfer,4243,5,Coimbatore,0
Transfer,4429,20,Kashmir,0
Withdrawal,2801,3,Gujarat,0
Purchase,4061,15,Kolkata,0
Withdrawal,1325,5,Thrissur,0
Transfer,11794,4,Kolkata,1
Transfer,1260,23,Kashmir,0
Purchase,177,11,Chennai,0
Transfer,3695,21,Mumbai,0
Transfer,4088,2,Gujarat,0
Purchase,2620,5,Gujarat,0
Withdrawal,4157,13,Delhi,0
Transfer,3006,11,Chennai,0
Transfer,1431,9,Chennai,0
Transfer,1564,5,Delhi,0
Purchase,4247,16,Bangalore,0
Transfer,885,3,Thrissur,0
Purchase,10119,4,Chennai,1
Withdrawal,4807,6,Mumbai,0
Purchase,3528,9,Mumbai,0
Withdrawal,2074,0,Thrissur,0
Withdrawal,1912,18,Gujarat,0
Transfer,2277,7,Gujarat,0
Withdrawal,4093,11,Kolkata,0
Withdrawal,4925,1,Kashmir,0
Withdrawal,3110,6,Delhi,0
Transfer,2966,16,Mumbai,0
Withdrawal,1843,16,Coimbatore,0
Purchase,735,15,Chennai,0
Purchase,1400,15,Thrissur,0
Withdrawal,2551,15,Gujarat,0
Purchase,4847,19,Mumbai,0
Withdrawal,1551,3,Delhi,0
Purchase,1811,23,Chennai,0
Withdrawal,36055,3,Delhi,1
Transfer,4033,6,Kolkata,0
Transfer,24315,4,Kashmir,1
Transfer,1150,13,Chennai,0
Withdrawal,210,12,Kashmir,0
Purchase,4585,12,Delhi,0
Transfer,15385,1,Chennai,1
Transfer,3789,8,Delhi,0
Transfer,626,0,Thrissur,0
Purchase,1708,22,Chennai,0
Purchase,224,1,Bangalore,0
Withdrawal,1477,20,Bangalore,0
Purchase,4028,6,Kolkata,0
Withdrawal,3620,5,Kashmir,0
Withdrawal,1732,18,Thrissur,0
Transfer,1243,0,Kashmir,0
Withdrawal,4868,8,Delhi,0
Purchase,697,15,Delhi,0
Purchase,4304,22,Chennai,0
Withdrawal,908,19,Gujarat,0
Purchase,768,1,Kashmir,0
Purchase,3330,15,Coimbatore,0
Transfer,14930,5,Kolkata,1
Purchase,1673,20,Kolkata,0
Transfer,1523,3,Bangalore,0
Withdrawal,4514,3,Gujarat,1
Withdrawal,3393,15,Delhi,0
Withdrawal,4767,13,Gujarat,0
Withdrawal,3711,1,Bangalore,0
Transfer,1861,20,Mumbai,0
Transfer,2319,17,Mumbai,0
Transfer,1080,1,Thrissur,0
Purchase,2282,23,Mumbai,0
Transfer,518,5,Kolkata,0
Transfer,38002,3,Gujarat,1
Transfer,4921,13,Delhi,0
Withdrawal,1395,20,Delhi,0
Withdrawal,122,1,Chennai,0
Purchase,1431,5,Thrissur,0
Purchase,2058,18,Gujarat,0
Withdrawal,3976,2,Delhi,0
Purchase,3974,13,Thrissur,0
Transfer,834,23,Thrissur,0
Transfer,2289,21,Mumbai,0
Transfer,2033,7,Mumbai,0
Purchase,28661,3,Chennai,1
Transfer,1062,3,Mumbai,0
Transfer,4190,5,Kashmir,0
Transfer,1885,19,Kolkata,0
Transfer,3000,3,Gujarat,0
Withdrawal,4930,4,Gujarat,0
Withdrawal,944,11,Coimbatore,0
Withdrawal,1476,15,Kashmir,0
Purchase,186,8,Bangalore,0
Purchase,3745,17,Kashmir,0
Transfer,3644,18,Gujarat,0
Purchase,4403,3,Mumbai,0
Purchase,2817,14,Chennai,0
Transfer,3624,7,Delhi,0
Transfer,4747,17,Gujarat,0
Purchase,2282,3,Gujarat,1
Transfer,23435,1,Delhi,1
Transfer,3172,16,Thrissur,0
Purchase,1574,13,Mumbai,0
Withdrawal,3633,5,Chennai,0
Withdrawal,1692,14,Kolkata,0
Transfer,774,0,Bangalore,0
Transfer,294,9,Coimbatore,0
Transfer,4258,21,Coimbatore,0
Withdrawal,4968,15,Gujarat,0
Withdrawal,1842,23,Coimbatore,0
Withdrawal,4971,4,Thrissur,0
Purchase,3271,13,Chennai,0
Purchase,3262,19,Gujarat,0
Purchase,3079,15,Chennai,0
Withdrawal,3716,19,Kolkata,0
Transfer,622,15,Thrissur,0
Withdrawal,4462,1,Bangalore,0
Withdrawal,2071,12,Kashmir,0
Withdrawal,3323,18,Kashmir,0
Purchase,4350,13,Chennai,0
Withdrawal,2427,10,Kolkata,0
Transfer,1965,9,Bangalore,0
Withdrawal,1560,1,Chennai,0
Withdrawal,4337,6,Coimbatore,0
Purchase,4624,7,Gujarat,0
Withdrawal,19,0,Gujarat,0
Withdrawal,2999,13,Delhi,0
Purchase,1795,0,Thrissur,0
Withdrawal,1425,16,Gujarat,0
Purchase,2935,20,Bangalore,0
Purchase,4296,20,Delhi,0
Transfer,341,10,Mumbai,0
Purchase,4195,0,Coimbatore,0
Withdrawal,2186,2,Kashmir,0
Purchase,143,17,Bangalore,0
Transfer,4156,1,Kolkata,0
Transfer,790,15,Kashmir,0
Withdrawal,888,12,Chennai,0
Transfer,2590,21,Coimbatore,0
Purchase,1740,22,Mumbai,0
Withdrawal,2614,21,Gujarat,0
Withdrawal,3216,9,Gujarat,0
Purchase,3048,10,Delhi,0
Withdrawal,1342,15,Chennai,0
Transfer,2754,21,Delhi,0
Purchase,1424,3,Gujarat,0
Purchase,2542,17,Coimbatore,0
Transfer,4891,2,Kolkata,0
Purchase,3554,1,Thrissur,0
Transfer,2209,5,Kolkata,0
Withdrawal,4195,20,Chennai,0
Withdrawal,3525,17,Chennai,0
Transfer,2637,17,Coimbatore,0
Withdrawal,1169,23,Chennai,0
Transfer,4869,4,Bangalore,0
Withdrawal,1942,18,Kashmir,0
Purchase,1409,4,Coimbatore,0
Purchase,371,9,Kashmir,0
Transfer,4903,21,Gujarat,0
Purchase,4024,11,Kashmir,0
Withdrawal,4197,18,Bangalore,0
Transfer,10576,3,Gujarat,1
Transfer,1914,20,Chennai,0
Purchase,2296,0,Mumbai,0
Purchase,4642,1,Thrissur,0
Purchase,38208,23,Delhi,1
Transfer,1041,1,Gujarat,0
Transfer,15862,17,Chennai,1
Purchase,305,8,Delhi,0
Withdrawal,279,5,Coimbatore,0
Withdrawal,3910,14,Delhi,0
Withdrawal,4825,9,Thrissur,0
Purchase,28954,9,Chennai,1
Purchase,2749,9,Gujarat,0
Transfer,2978,11,Kolkata,0
Withdrawal,656,11,Bangalore,0
Purchase,4390,19,Chennai,0
Withdrawal,4526,7,Mumbai,0
Withdrawal,1309,18,Mumbai,0
Transfer,2270,18,Coimbatore,0
Transfer,1360,13,Chennai,0
Transfer,4440,19,Delhi,0
Withdrawal,26183,1,Kashmir,1
Purchase,4012,3,Chennai,0
Transfer,4284,3,Chennai,0
Transfer,4078,19,Gujarat,0
Purchase,699,19,Coimbatore,0
Purchase,1858,21,Kashmir,0
Transfer,2035,4,Gujarat,1
Transfer,4267,16,Gujarat,0
Purchase,4985,23,Gujarat,0
Purchase,1278,2,Kashmir,0
Purchase,4324,8,Kolkata,0
Transfer,3231,5,Mumbai,0
Withdrawal,1298,17,Mumbai,0
Withdrawal,2307,19,Thrissur,0
Withdrawal,4908,1,Delhi,0
Purchase,4307,22,Kashmir,0
Purchase,812,0,Mumbai,0
Purchase,26440,3,Delhi,1
Transfer,6129,1,Kolkata,1
Withdrawal,3991,14,Kolkata,0
Purchase,2827,9,Thrissur,0
Transfer,1812,13,Delhi,0
Withdrawal,382,21,Kolkata,0
Transfer,1927,18,Chennai,0
Transfer,696,14,Kolkata,0
Withdrawal,3341,19,Chennai,0
Transfer,1832,14,Kolkata,0
Withdrawal,26301,9,Kashmir,1
Transfer,1005,3,Gujarat,0
Purchase,1642,3,Kolkata,0
Purchase,36,4,Coimbatore,0
Transfer,3711,1,Chennai,0
Withdrawal,893,14,Coimbatore,0
Purchase,4842,22,Delhi,0
Transfer,40548,0,Kashmir,1
Withdrawal,389,11,Bangalore,0
Withdrawal,3204,20,Bangalore,0
Purchase,3271,4,Chennai,0
Transfer,2104,22,Gujarat,0
Withdrawal,4354,10,Mumbai,0
Withdrawal,249,21,Thrissur,0
Withdrawal,4165,15,Mumbai,0
Withdrawal,4314,11,Kashmir,0
Purchase,2436,8,Bangalore,0
Transfer,4621,17,Thrissur,0
Transfer,3241,9,Kolkata,0
Purchase,2107,5,Coimbatore,0
Withdrawal,4933,3,Coimbatore,0
Transfer,1184,0,Mumbai,0
Purchase,3112,10,Delhi,0
Purchase,2588,2,Kashmir,0
Purchase,1576,7,Coimbatore,0
Purchase,999,6,Delhi,0
Withdrawal,875,16,Kashmir,0
Transfer,3367,23,Delhi,0
Purchase,4892,19,Coimbatore,0
Withdrawal,2279,21,Delhi,0
Purchase,4201,11,Coimbatore,0
Purchase,4943,0,Kolkata,0
Purchase,1466,13,Kashmir,0
Withdrawal,4959,6,Kolkata,0
Transfer,4921,16,Gujarat,0
Transfer,711,18,Gujarat,0
Transfer,4160,1,Bangalore,0
Transfer,1290,11,Bangalore,0
Purchase,3174,13,Chennai,0
Transfer,1981,8,Delhi,0
Withdrawal,2693,9,Coimbatore,0
Transfer,167,4,Coimbatore,0
Transfer,1371,0,Delhi,0
Transfer,3835,0,Mumbai,1
Withdrawal,4899,1,Mumbai,0
Purchase,3591,16,Kolkata,0
Transfer,1005,10,Bangalore,0
Withdrawal,3252,8,Gujarat,0
Purchase,5519,5,Kashmir,1
Withdrawal,60,4,Coimbatore,0
Purchase,3068,20,Coimbatore,0
Withdrawal,2234,0,Coimbatore,0
Withdrawal,2831,16,Thrissur,0
Purchase,317,14,Coimbatore,0
Purchase,2192,22,Gujarat,0
Transfer,1837,10,Chennai,0
Withdrawal,2157,18,Kashmir,0
Transfer,744,18,Coimbatore,0
Transfer,3794,16,Kolkata,0
Purchase,1681,3,Gujarat,0
Withdrawal,4286,17,Kashmir,0
Transfer,503,23,Coimbatore,0
Purchase,4611,16,Coimbatore,0
Purchase,476,20,Kolkata,0
Transfer,34537,1,Kolkata,1
Purchase,4084,7,Kashmir,0
Purchase,775,21,Gujarat,0
Purchase,3597,21,Bangalore,0
Purchase,2033,22,Coimbatore,0
Purchase,2596,2,Kashmir,0
Withdrawal,2750,16,Kolkata,0
Transfer,4705,11,Chennai,0
Transfer,11789,5,Chennai,1
Transfer,4152,21,Mumbai,0
Purchase,4530,22,Bangalore,0
Transfer,1682,22,Chennai,0
Purchase,7447,23,Bangalore,1
Purchase,2961,3,Bangalore,0
Transfer,3712,20,Delhi,0
Purchase,916,12,Kolkata,0
Transfer,2215,10,Thrissur,0
Withdrawal,2346,15,Mumbai,0
Transfer,49569,23,Mumbai,1
Transfer,849,7,Gujarat,0
